ID;Domäne;Wirkungskettenelement;Indikatorname;Jahr;Beschreibung;Erhalten durch
1;Vulnerabilität;Andere Kosten, andere Einnahmequellen;Erreichbarkeit;2015;Erreichbarkeit von Einzelhandel, Bildungseinrichtungen, öffentliche Sicherheit, Gesundheitsversorgung, Freizeiteinrichtungen. Gemessen an der kürzesten Distanz entlang des Straßennetzwerkes.;RESPECT
2;Vulnerabilität;Nährstoffe im Boden, Pflanzenverfügbares Wasser;Bodenfunktionsbewertung: Lebensraum für Bodenorganismen;2015;Bodenorganismen sorgen für den Aufbau von Humus, Abbau von Schadstoffen, Aufbau einer stabilen Bodenstruktur oder Erhalt der Bodenfruchtbarkeit und sind als Grundlage für gesunde Böden unersetzlich. Hier bewertet ist der potentielle Gehalt eines Bodens an mikrobieller Biomasse. Dieser wird damit als Indikator für das Bodenleben insgesamt herangezogen.;Online
3;Vulnerabilität;Nährstoffe im Boden;Bodenfunktionsbewertung: Natürliche Bodenfruchtbarkeit;2015;"Auf Böden mit einer hohen natürlichen Ertragsfähigkeit können bessere Erträge mit einem vergleichsweise geringen Einsatz
von Düngemitteln ohne künstliche Bewässerung erzielt werden, als auf Böden mit geringerer natürlicher Bodenfruchtbarkeit. Die Betrachtung der Bodenteilfunktion geht der Frage
nach, wie hoch das natürliche Ertragspotential des betrachteten Bodens einzustufen ist.";Online
4;Vulnerabilität;Pflanzenverfügbares Wasser;Bodenkarte: Wasserverhältnisse;2019;Beschreibung der durchschnittlichen Wasserverfügbarkeit der Bodenform für die Pflanzen. (Quelle: Digitale Bodenkarte - Bodeneigenschaften);Online
5;Vulnerabilität;Menge und Qualität der Ernte;Bodenkarte: Wertigkeit Grünland;2019;Ausschließlich empirische Einschätzung durch den jeweiligen Kartierer (Digitale Bodenkarte - Bodenwertigkeit);Online
6;Vulnerabilität;Fruchtwechsel;Diversität der Anbauarten;2016;"Der Indikator wurde bereits in der Regional Futures Studie als Sensitivitätsindikator verwendet (Chiari et al. 2013; Lindenthal et al. 2014; Radinger?Peer et al. 2015): Je diverser die Kultur um so weniger Vulnerabel, z.B. im Bezug auf Trockenheit. Der Diversiätsgrad wurde mittels des Shannon diversity Index (SHDI) (Adamczyk and Tiede 2017) für jede 1km² Zele berechnet. Der zugrundeliegende Datensatz ist der Schläge Datensatz von INVEKOS.";RESPECT
7;Vulnerabilität;Versiegelter Boden, Renaturierungen;Veränderung der Bodenversiegelung;2006-2012;Erfasst den Prozentsatz und die Veränderung der Bodenversiegelung. Versiegelte/undurchlässige Flächen sind dadurch gekennzeichnet, dass die ursprüngliche (halb-)natürliche Bodenbedeckung oder Wasseroberfläche durch eine künstliche, oft undurchlässige Abdeckung ersetzt wird. ;Online
8;Vulnerabilität;Gefälle;Landwirtschaftlich benachteiligte Gebiete;2019;Die Betriebe in diesen Regionen sind mit denen in sogenannten Gunstlagen nicht wettbewerbsfähig.;Online
9;Vulnerabilität;Schatten, Wind;Kleinräumige Gehölzstrukturen;2015;Kleinräumige Gehölzstrukturen sind wichtige Vektoren für die biologische Vielfalt und liefern Informationen über die Fragmentierung von Lebensräumen mit direktem Potenzial für die Wiederherstellung und stellen gleichzeitig eine Verbindung zum Schutz vor Gefahren und zur grünen Infrastruktur her. Der Datensatz der kleinräumige Gehölzstrukturen (Small Woody Features, SWFs) enthält lineare und kleinflächige Elemente, wird aber nicht nach Bäumen, Hecken, Büschen und Gebüsch unterschieden.;Online
10;Vulnerabilität;Alternative Einkommensquellen;Beherbergungs- und Gastronomiebetriebe;2013;"Alternative Einkommensquellen stellen ein wichtiges Instrument zur Abmilderung  finanzieller Verlusten in der landwirtschaft dar. Das Modell ""Urlaub am Bauernhof"" ist weitverbreitet. ";RESPECT
